ibge,city,state,region,pop2019,pop2020,pop2021,isCountryside,cod_RegiaoDeSaude,name_RegiaoDeSaude,ibge_id
3204054,Pedro Canário/ES,ES,Sudeste,26184,26381,26575,1,32003,Norte,3204054
3204104,Pinheiros/ES,ES,Sudeste,27047,27327,27601,1,32003,Norte,3204104
3204203,Piúma/ES,ES,Sudeste,21711,22053,22388,1,32004,Sul,3204203
3204252,Ponto Belo/ES,ES,Sudeste,7863,7940,8016,1,32003,Norte,3204252
3204302,Presidente Kennedy/ES,ES,Sudeste,11574,11658,11741,1,32004,Sul,3204302
3204351,Rio Bananal/ES,ES,Sudeste,19141,19271,19398,1,32001,Central,3204351
3204401,Rio Novo do Sul/ES,ES,Sudeste,11622,11626,11630,1,32004,Sul,3204401
3204500,Santa Leopoldina/ES,ES,Sudeste,12224,12197,12171,1,32002,Metropolitana,3204500
3204559,Santa Maria de Jetibá/ES,ES,Sudeste,40431,41015,41588,1,32002,Metropolitana,3204559
3204609,Santa Teresa/ES,ES,Sudeste,23590,23724,23853,1,32002,Metropolitana,3204609
3204658,São Domingos do Norte/ES,ES,Sudeste,8638,8687,8735,1,32001,Central,3204658
3204708,São Gabriel da Palha/ES,ES,Sudeste,37947,38522,39085,1,32001,Central,3204708
3204807,São José do Calçado/ES,ES,Sudeste,10556,10546,10536,1,32004,Sul,3204807
3204906,São Mateus/ES,ES,Sudeste,130611,132642,134629,1,32003,Norte,3204906
3204955,São Roque do Canaã/ES,ES,Sudeste,12415,12510,12602,1,32001,Central,3204955
3205002,Serra/ES,ES,Sudeste,517510,527240,536765,0,32002,Metropolitana,3205002
3205010,Sooretama/ES,ES,Sudeste,30070,30680,31278,1,32001,Central,3205010
3205036,Vargem Alta/ES,ES,Sudeste,21402,21591,21778,1,32004,Sul,3205036
3205069,Venda Nova do Imigrante/ES,ES,Sudeste,25277,25745,26204,1,32002,Metropolitana,3205069
3205101,Viana/ES,ES,Sudeste,78239,79500,80735,0,32002,Metropolitana,3205101
3205150,Vila Pavão/ES,ES,Sudeste,9208,9244,9280,1,32003,Norte,3205150
3205176,Vila Valério/ES,ES,Sudeste,14080,14073,14065,1,32001,Central,3205176
