date,country,state,city,newDeaths,deaths,newCases,totalCases,deathsMS,totalCasesMS
2020-03-26,Brazil,MA,TOTAL,0,0,2,10,0,10
2020-03-26,Brazil,MG,TOTAL,0,0,20,153,0,153
2020-03-26,Brazil,MS,TOTAL,0,0,1,25,0,25
2020-03-26,Brazil,MT,TOTAL,0,0,2,11,0,11
2020-03-26,Brazil,PA,TOTAL,0,0,6,13,0,13
2020-03-26,Brazil,PB,TOTAL,0,0,1,6,0,5
2020-03-26,Brazil,PE,TOTAL,2,3,2,48,3,48
2020-03-26,Brazil,PI,TOTAL,0,0,0,9,0,9
2020-03-26,Brazil,PR,TOTAL,0,0,9,106,0,102
2020-03-26,Brazil,RJ,TOTAL,1,9,51,421,9,421
2020-03-26,Brazil,RN,TOTAL,0,0,5,19,0,19
2020-03-26,Brazil,RO,TOTAL,0,0,1,6,0,5
2020-03-26,Brazil,RR,TOTAL,0,0,2,10,0,8
2020-03-26,Brazil,RS,TOTAL,0,1,28,190,1,168
2020-03-26,Brazil,SC,TOTAL,1,1,27,149,1,122
2020-03-26,Brazil,SE,TOTAL,0,0,0,16,0,16
2020-03-26,Brazil,SP,TOTAL,10,58,191,1053,58,1052
2020-03-26,Brazil,TO,TOTAL,0,0,1,8,0,7
2020-03-26,Brazil,TOTAL,TOTAL,18,77,424,2990,77,2915
2020-03-27,Brazil,AC,TOTAL,0,0,1,25,0,25
2020-03-27,Brazil,AL,TOTAL,0,0,1,12,0,11
2020-03-27,Brazil,AM,TOTAL,0,1,14,81,1,81
2020-03-27,Brazil,AP,TOTAL,0,0,1,3,0,2
2020-03-27,Brazil,BA,TOTAL,0,0,15,123,0,115
